Index,C2,C4,VDD,RL,EFFICIENCY,POWER OUT,PAE,THD
40285,2.2080808080808082e-10,7.203030303030303e-10,10,100,1.4401974389151397,0.245967,-1.6283089462312705,12.228848
40286,2.2080808080808082e-10,7.261111111111112e-10,10,100,1.4298649675571402,0.244607,-1.6331267902028408,12.203848
40287,2.2080808080808082e-10,7.319191919191919e-10,10,100,1.4199837814817193,0.243398,-1.637212748455449,12.15264
40288,2.2080808080808082e-10,7.377272727272727e-10,10,100,1.41015727353717,0.242179,-1.6414792213766238,12.111212
40289,2.2080808080808082e-10,7.435353535353536e-10,10,100,1.4003010875188178,0.240912,-1.645803665362729,12.073028
40290,2.2080808080808082e-10,7.493434343434343e-10,10,100,1.3901289869620466,0.239579,-1.6512245928178106,12.034933
40291,2.2080808080808082e-10,7.551515151515151e-10,10,100,1.3803146504784634,0.238292,-1.6562014875228805,11.995891
40292,2.2080808080808082e-10,7.60959595959596e-10,10,100,1.370647039437548,0.237063,-1.6600484513491789,11.944255
40293,2.2080808080808082e-10,7.667676767676768e-10,10,100,1.3613119939052192,0.235865,-1.6643657330185901,11.910544
40294,2.2080808080808082e-10,7.725757575757575e-10,10,100,1.3517644686428714,0.234619,-1.6683375104427733,11.873569
40295,2.2080808080808082e-10,7.783838383838384e-10,10,100,1.342501840603718,0.233402,-1.672763666482606,11.845518
40296,2.2080808080808082e-10,7.841919191919192e-10,10,100,1.3332242376219432,0.232193,-1.6768642447418738,11.815216
40297,2.2080808080808082e-10,7.9e-10,10,100,1.3245484819478754,0.23109,-1.6797732522482764,11.781594
40298,2.2661616161616163e-10,2.15e-10,10,100,3.3606348286107686,0.463734,-0.42003768389013724,33.495151
40299,2.2661616161616163e-10,2.2080808080808082e-10,10,100,3.3095712573466765,0.458369,-0.4583965111409548,32.286546
40300,2.2661616161616163e-10,2.2661616161616163e-10,10,100,3.2615704590760908,0.453205,-0.4950163004757005,31.194313
40301,2.2661616161616163e-10,2.3242424242424244e-10,10,100,3.2148744324173104,0.448176,-0.5307767902616082,30.186427
40302,2.2661616161616163e-10,2.3823232323232323e-10,10,100,3.1723881557312588,0.44376,-0.5608298422956489,29.244479
40303,2.2661616161616163e-10,2.4404040404040407e-10,10,100,3.1322314049586777,0.43964,-0.5873111997720147,28.350795
40304,2.2661616161616163e-10,2.4984848484848486e-10,10,100,3.0914607284457642,0.435086,-0.6194844320652565,27.589024
40305,2.2661616161616163e-10,2.5565656565656564e-10,10,100,3.054285410840089,0.431372,-0.6437356179417287,26.800829
40306,2.2661616161616163e-10,2.614646464646465e-10,10,100,3.017280691227649,0.427431,-0.6694785438476363,26.110961
40307,2.2661616161616163e-10,2.6727272727272727e-10,10,100,2.9818890546283527,0.423798,-0.6937322338239847,25.450527
40308,2.2661616161616163e-10,2.730808080808081e-10,10,100,2.9483867348298376,0.420437,-0.7156712178907287,24.829896
40309,2.2661616161616163e-10,2.788888888888889e-10,10,100,2.915685301538268,0.417185,-0.7358665949134422,24.231183
40310,2.2661616161616163e-10,2.8469696969696973e-10,10,100,2.883185939383803,0.413717,-0.7580091014892714,23.706257
40311,2.2661616161616163e-10,2.905050505050505e-10,10,100,2.8529799944429004,0.410715,-0.777056126701862,23.181967
40312,2.2661616161616163e-10,2.963131313131313e-10,10,100,2.8243822395159,0.407934,-0.7939321346229735,22.688357
40313,2.2661616161616163e-10,3.0212121212121214e-10,10,100,2.793282278279965,0.404498,-0.8162018078737109,22.245501
40314,2.2661616161616163e-10,3.0792929292929293e-10,10,100,2.7650540631689076,0.401743,-0.8323112606939083,21.794356
40315,2.2661616161616163e-10,3.1373737373737376e-10,10,100,2.7362847043481247,0.398663,-0.8511136277840692,21.385047
40316,2.2661616161616163e-10,3.1954545454545455e-10,10,100,2.7099588128241265,0.396093,-0.8664837645899756,20.992918
40317,2.2661616161616163e-10,3.253535353535354e-10,10,100,2.682454787941632,0.393213,-0.884580488037821,20.623128
40318,2.2661616161616163e-10,3.311616161616162e-10,10,100,2.6569154905628296,0.390633,-0.8999965992178196,20.26855
40319,2.2661616161616163e-10,3.3696969696969696e-10,10,100,2.631906498718696,0.388222,-0.9124374601711119,19.91984
