time	Ix(U1:drainin)
4.460100000000063e-008	1.119336e+001
4.462778377285917e-008	1.119514e+001
4.468135131857627e-008	1.119665e+001
4.478848641001046e-008	1.119140e+001
4.500099999999981e-008	1.116559e+001
4.500109999999975e-008	1.123749e+001
4.500129999999963e-008	1.137486e+001
4.500169999999938e-008	1.163285e+001
4.500199999999920e-008	1.181642e+001
4.500224000000007e-008	1.176904e+001
4.500255999999954e-008	1.172345e+001
4.500319999999847e-008	1.164967e+001
4.500433114591088e-008	1.154899e+001
4.500659343773401e-008	1.141467e+001
4.501111802138026e-008	1.126962e+001
4.501929084068431e-008	1.116201e+001
4.502803179765445e-008	1.112835e+001
4.504066486085453e-008	1.111891e+001
4.505961056359161e-008	1.111110e+001
4.509750196906407e-008	1.109460e+001
4.517328478000901e-008	1.105556e+001
4.529511467698100e-008	1.096925e+001
4.540803218036036e-008	1.084557e+001
4.550405595026913e-008	1.066721e+001
4.558358736665420e-008	1.040586e+001
4.565502808357946e-008	9.998678e+000
4.572600496244895e-008	9.336585e+000
4.579990345752804e-008	8.381637e+000
4.587646978947699e-008	7.396866e+000
4.596390338780228e-008	6.631462e+000
4.605907847852308e-008	6.191316e+000
4.614989530614451e-008	5.970548e+000
4.624548570369233e-008	5.823657e+000
4.633764921046691e-008	5.713259e+000
4.642476984363513e-008	5.618601e+000
4.651394711767340e-008	5.522749e+000
4.660984210445910e-008	5.417585e+000
4.670897944411671e-008	5.303068e+000
4.681376895531858e-008	5.173841e+000
4.692358655810931e-008	5.029370e+000
4.704735403603297e-008	4.850855e+000
4.718727658890829e-008	4.616668e+000
4.735350171050686e-008	4.278296e+000
4.755331187800462e-008	3.802554e+000
4.781314539840992e-008	3.220890e+000
4.815444294333163e-008	2.655857e+000
4.844241240336677e-008	2.297908e+000
4.869895488599929e-008	2.009615e+000
4.898751513260767e-008	1.692202e+000
4.927329589768965e-008	1.379342e+000
4.958269399871296e-008	1.042557e+000
4.990023308436241e-008	7.010618e-001
5.027752970591671e-008	3.034618e-001
5.067752970591589e-008	-1.053418e-001
5.107752970591508e-008	-4.970339e-001
5.147752970591426e-008	-8.672071e-001
5.187752970591344e-008	-1.211541e+000
5.227752970591263e-008	-1.525976e+000
5.267752970591181e-008	-1.808774e+000
5.307752970591099e-008	-2.070147e+000
5.347752970591017e-008	-2.361188e+000
5.387752970590936e-008	-2.734441e+000
5.427752970590854e-008	-3.082827e+000
5.467752970590772e-008	-3.254470e+000
5.507752970590691e-008	-3.255809e+000
5.547752970590609e-008	-3.144178e+000
5.587752970590527e-008	-2.943409e+000
5.627752970590446e-008	-2.662717e+000
5.667752970590364e-008	-2.309566e+000
5.707752970590282e-008	-1.892634e+000
5.747752970590200e-008	-1.453377e+000
5.782572820333010e-008	-1.156003e+000
5.804446262261818e-008	-1.034243e+000
5.822708139988427e-008	-8.630291e-001
5.835763183782515e-008	-6.344202e-001
5.847999980366944e-008	-3.666731e-001
5.861376722142227e-008	-7.034516e-002
5.881634257588792e-008	3.465806e-001
5.903046217595453e-008	7.323993e-001
5.929526174149949e-008	1.150986e+000
5.959807346571177e-008	1.602687e+000
5.970764230899849e-008	1.764505e+000
5.978086231342599e-008	1.871673e+000
5.985460464456255e-008	1.984475e+000
5.986975829973127e-008	2.003936e+000
5.988491195489999e-008	2.023974e+000
5.990006561006870e-008	2.044591e+000
5.991521926523743e-008	2.065786e+000
5.993037292040614e-008	2.087559e+000
5.994552657557486e-008	2.109910e+000
5.996068023074357e-008	2.132838e+000
5.999999999999943e-008	2.189172e+000
6.000029999999924e-008	1.985794e+000
6.000069999999900e-008	1.745445e+000
6.000099999999882e-008	1.581484e+000
6.000123999999969e-008	1.637053e+000
6.000155999999916e-008	1.698939e+000
6.000219999999809e-008	1.790514e+000
6.000347999999765e-008	1.897706e+000
6.000603999999677e-008	1.985040e+000
6.001115999999332e-008	2.029019e+000
6.002349410346669e-008	2.051217e+000
6.003582820694004e-008	2.074065e+000
6.004816231041341e-008	2.097560e+000
6.006049641388678e-008	2.121704e+000
6.007283051736014e-008	2.146497e+000
6.008516462083350e-008	2.171937e+000
6.009749872430687e-008	2.198027e+000
6.011572966192348e-008	2.251962e+000
