  Time                 , I(U1:DRAININ)        
  7.901441171084e-06  ,8.156800708824e+00  
  7.901451171160e-06  ,8.178848845655e+00  
  7.901461171236e-06  ,8.200849804253e+00  
  7.901471171312e-06  ,8.222803289361e+00  
  7.901481171388e-06  ,8.244709010713e+00  
  7.901491171465e-06  ,8.266566682792e+00  
  7.901501171541e-06  ,8.288376024615e+00  
  7.901511171617e-06  ,8.310136759517e+00  
  7.901521171693e-06  ,8.331848614960e+00  
  7.901531171769e-06  ,8.353511322348e+00  
  7.901541171845e-06  ,8.375124616852e+00  
  7.901551171921e-06  ,8.396688237249e+00  
  7.901561171998e-06  ,8.418201925769e+00  
  7.901571172074e-06  ,8.439665427950e+00  
  7.901581172150e-06  ,8.461078492500e+00  
  7.901591172226e-06  ,8.482440871172e+00  
  7.901601172302e-06  ,8.503752318642e+00  
  7.901611172378e-06  ,8.525012592395e+00  
  7.901621172454e-06  ,8.546221452617e+00  
  7.901631172531e-06  ,8.567378662093e+00  
  7.901641172607e-06  ,8.588483986112e+00  
  7.901651172683e-06  ,8.609537192378e+00  
  7.901661172759e-06  ,8.630538050918e+00  
  7.901671172835e-06  ,8.651486334008e+00  
  7.901681172911e-06  ,8.672381816093e+00  
  7.901691172988e-06  ,8.693224273714e+00  
  7.901701173064e-06  ,8.714013485440e+00  
  7.901711173140e-06  ,8.734749231803e+00  
  7.901721173216e-06  ,8.755431295235e+00  
  7.901731173292e-06  ,8.776059460012e+00  
  7.901741173368e-06  ,8.796633512195e+00  
  7.901751173444e-06  ,8.817153239582e+00  
  7.901761173521e-06  ,8.837618431653e+00  
  7.901771173597e-06  ,8.858028879525e+00  
  7.901781173673e-06  ,8.878384375910e+00  
  7.901791173749e-06  ,8.898684715066e+00  
  7.901801173825e-06  ,8.918929692761e+00  
  7.901811173901e-06  ,8.939119106232e+00  
  7.901821173977e-06  ,8.959252754153e+00  
  7.901831174054e-06  ,8.979330436591e+00  
  7.901841174130e-06  ,8.999351954984e+00  
  7.901851174206e-06  ,9.019317112099e+00  
  7.901861174282e-06  ,9.039225712012e+00  
  7.901871174358e-06  ,9.059077560069e+00  
  7.901881174434e-06  ,9.078872462869e+00  
  7.901891174510e-06  ,9.098610228229e+00  
  7.901901174587e-06  ,9.118290665167e+00  
  7.901911174663e-06  ,9.137913583874e+00  
  7.901921174739e-06  ,9.157478795691e+00  
  7.901931174815e-06  ,9.176986113092e+00  
  7.901941174891e-06  ,9.196435349660e+00  
  7.901951174967e-06  ,9.215826320070e+00  
  7.901961175043e-06  ,9.235158840066e+00  
  7.901971175120e-06  ,9.254432726450e+00  
  7.901981175196e-06  ,9.273647797061e+00  
  7.901991175272e-06  ,9.292803870758e+00  
  7.902001175348e-06  ,9.311900767410e+00  
  7.902011175424e-06  ,9.330938307874e+00  
  7.902021175500e-06  ,9.349916313989e+00  
  7.902031175576e-06  ,9.368834608555e+00  
  7.902041175653e-06  ,9.387693015327e+00  
  7.902051175729e-06  ,9.406491358998e+00  
  7.902061175805e-06  ,9.425229465190e+00  
  7.902071175881e-06  ,9.443907160443e+00  
  7.902081175957e-06  ,9.462524272203e+00  
  7.902091176033e-06  ,9.481080628813e+00  
  7.902101176109e-06  ,9.499576059503e+00  
  7.902111176186e-06  ,9.518010394380e+00  
  7.902121176262e-06  ,9.536383464422e+00  
  7.902131176338e-06  ,9.554695101467e+00  
  7.902141176414e-06  ,9.572945138205e+00  
  7.902151176490e-06  ,9.591133408172e+00  
  7.902161176566e-06  ,9.609259745741e+00  
  7.902171176642e-06  ,9.627323986117e+00  
  7.902181176719e-06  ,9.645325965328e+00  
  7.902191176795e-06  ,9.663265520220e+00  
  7.902201176871e-06  ,9.681142488452e+00  
  7.902211176947e-06  ,9.698956708486e+00  
  7.902221177023e-06  ,9.716708019589e+00  
  7.902231177099e-06  ,9.734396261818e+00  
  7.902241177176e-06  ,9.752021276022e+00  
  7.902251177252e-06  ,9.769582903838e+00  
  7.902261177328e-06  ,9.787080987678e+00  
  7.902271177404e-06  ,9.804515370736e+00  
  7.902281177480e-06  ,9.821885896973e+00  
  7.902291177556e-06  ,9.839192411120e+00  
  7.902301177632e-06  ,9.856434758673e+00  
  7.902311177709e-06  ,9.873612785888e+00  
  7.902321177785e-06  ,9.890726339777e+00  
  7.902331177861e-06  ,9.907775268105e+00  
  7.902341177937e-06  ,9.924759419391e+00  
  7.902351178013e-06  ,9.941678642897e+00  
  7.902361178089e-06  ,9.958532788634e+00  
  7.902371178165e-06  ,9.975321707350e+00  
  7.902381178242e-06  ,9.992045250537e+00  
  7.902391178318e-06  ,1.000870327042e+01  
  7.902401178394e-06  ,1.002529561996e+01  
